Symbol;Name;MarketCap;IPOyear;Sector;industry
USLM;United States Lime & Minerals, Inc.;$456.17M;n/a;Basic Industries;Mining & Quarrying of Nonmetallic Minerals (No Fuels)
UTHR;United Therapeutics Corporation;$5.94B;1999;Health Care;Major Pharmaceuticals
UG;United-Guardian, Inc.;$72.59M;n/a;Consumer Non-Durables;Package Goods/Cosmetics
UNIT;Uniti Group Inc.;$3.83B;n/a;Consumer Services;Real Estate Investment Trusts
UNTY;Unity Bancorp, Inc.;$194.9M;n/a;Finance;Major Banks
OLED;Universal Display Corporation;$5.53B;n/a;Capital Goods;Electrical Products
UEIC;Universal Electronics Inc.;$904.94M;1993;Consumer Non-Durables;Consumer Electronics/Appliances
UFPI;Universal Forest Products, Inc.;$1.74B;1993;Basic Industries;Forest Products
ULH;Universal Logistics Holdings, Inc.;$409.58M;n/a;Transportation;Trucking Freight/Courier Services
USAP;Universal Stainless & Alloy Products, Inc.;$137.92M;1994;Basic Industries;Steel/Iron Ore
UVSP;Univest Corporation of Pennsylvania;$805.37M;n/a;Finance;Major Banks
UPLD;Upland Software, Inc.;$480.3M;2014;Technology;Computer Software: Prepackaged Software
URRE;Uranium Resources, Inc.;$33.61M;n/a;Basic Industries;Precious Metals
UONE;Urban One, Inc. ;$88.95M;n/a;Consumer Services;Broadcasting
UONEK;Urban One, Inc. ;$89.39M;n/a;Consumer Services;Broadcasting
URBN;Urban Outfitters, Inc.;$2.23B;1993;Consumer Services;Clothing/Shoe/Accessory Stores
URGN;UroGen Pharma Ltd.;$221.85M;2017;Health Care;Major Pharmaceuticals
ECOL;US Ecology, Inc.;$1.13B;n/a;Public Utilities;Environmental Services
USAT;USA Technologies, Inc.;$213.76M;n/a;Miscellaneous;Office Equipment/Supplies/Services
USATP;USA Technologies, Inc.;$10.73M;n/a;Miscellaneous;Office Equipment/Supplies/Services
USAK;USA Truck, Inc.;$70.58M;1992;Transportation;Trucking Freight/Courier Services
UTMD;Utah Medical Products, Inc.;$269.55M;n/a;Health Care;Medical/Dental Instruments
UTSI;UTStarcom Holdings Corp;$77.3M;2000;Consumer Durables;Telecommunications Equipment
VLRX;Valeritas Holdings, Inc.;$36.61M;n/a;Health Care;Medical/Dental Instruments
VALX;Validea Market Legends ETF;$22.66M;n/a;n/a;n/a
VALU;Value Line, Inc.;$171.56M;1983;Finance;Investment Managers
VNDA;Vanda Pharmaceuticals Inc.;$712.84M;2006;Health Care;Major Pharmaceuticals
BBH;VanEck Vectors Biotech ETF;$698.85M;n/a;n/a;n/a
